onboard_time,ecef_x
266348.0,6378137.0
486631573.0,6378137.0
486651591.0,6378137.0
486671580.0,6378137.0
486691679.0,6378137.0
486787629.0,6378137.0
486787775.0,6378137.0
486787920.0,6378137.0
486788065.0,6378137.0
486791771.0,6378137.0
486808161.0,6378137.0
486828173.0,6378137.0
486848162.0,6378137.0
486868161.0,6378137.0
486888251.0,6378137.0
486908161.0,6378137.0
486928637.0,6378137.0
486948173.0,6378137.0
486968162.0,6378137.0
486988231.0,6378137.0
487011809.0,6378137.0
487031798.0,6378137.0
487051798.0,6378137.0
487071807.0,6378137.0
487091869.0,6378137.0
487111797.0,6378137.0
487131807.0,6378137.0
487151798.0,6378137.0
487171798.0,6378137.0
487191887.0,6378137.0
487211797.0,6378137.0
487231798.0,6378137.0
487251809.0,6378137.0
487271796.0,6378137.0
487291868.0,6378137.0
487311653.0,6378137.0
487331644.0,6378137.0
487351645.0,6378137.0
487371656.0,6378137.0
487391717.0,6378137.0
487408281.0,6378137.0
487428292.0,6378137.0
487448279.0,6378137.0
487471597.0,6378137.0
487488369.0,6378137.0
487508280.0,6378137.0
487528433.0,6378137.0
487548445.0,6378137.0
487568434.0,6378137.0
487588506.0,6378137.0
487611804.0,6378137.0
487631793.0,6378137.0
487651793.0,6378137.0
487671809.0,6378137.0
487695818.0,6378137.0
487711793.0,6378137.0
487731807.0,6378137.0
487751792.0,6378137.0
487771793.0,6378137.0
487791886.0,6378137.0
487825652.0,6378137.0
487825801.0,6378137.0
487843560.0,6378137.0
487863545.0,6378137.0
487883616.0,6378137.0
487911496.0,6378137.0
487931481.0,6378137.0
487951480.0,6378137.0
487971496.0,6378137.0
487991553.0,6378137.0
488008766.0,6378137.0
488028791.0,6378137.0
488048766.0,6378137.0
488068767.0,6378137.0
488088859.0,6378137.0
488108765.0,6378137.0
488128766.0,6378137.0
488148774.0,6378137.0
488168766.0,6378137.0
488188837.0,6378137.0
488211804.0,6378137.0
488235333.0,6378137.0
488251790.0,6378137.0
488271807.0,6378137.0
488291862.0,6378137.0
488311791.0,6378137.0
488331805.0,6378137.0
488351791.0,6378137.0
488371791.0,6378137.0
488391884.0,6378137.0
488411791.0,6378137.0
488431788.0,6378137.0
488452215.0,6378137.0
488471789.0,6378137.0
488491861.0,6378137.0
488511795.0,6378137.0
488531786.0,6378137.0
488551785.0,6378137.0
488571798.0,6378137.0
488591858.0,6378137.0
488609167.0,6378137.0
488629179.0,6378137.0
488649168.0,6378137.0
488669166.0,6378137.0
488689256.0,6378137.0
488709167.0,6378137.0
488729169.0,6378137.0
488749179.0,6378137.0
488769169.0,6378137.0
488789240.0,6378137.0
488811798.0,6378137.0
488831787.0,6378137.0
488851786.0,6378137.0
488871796.0,6378137.0
488920748.0,6378137.0
488920895.0,6378137.0
488931746.0,6378137.0
